svm_linear,0.59,0.59
svm_polynomial,0.7033,0.72
svm_rbf,0.97333,0.94
logistic,0.58333,0.59
knn,0.943333,0.945
decision_tree,0.95666,0.965
random_forest,0.93666,0.945
