1.000000000000000021e-03,1.000000000000000000e+02,1.043916796266313174e-01,1.202818799377768262e-02,8.678100009767965306e-03
5.000000000000000104e-03,1.000000000000000000e+02,4.322572670802501404e-01,4.573319970802069978e-02,2.983411323182187658e-02
1.000000000000000021e-02,1.000000000000000000e+02,6.951206934840981067e-01,6.860855418114017445e-02,3.878003956381319284e-02
5.000000000000000278e-02,1.000000000000000000e+02,1.089969183119605001e+00,1.120068686565904997e-01,1.799780435581797844e-02
1.000000000000000056e-01,1.000000000000000000e+02,1.096431687859428683e+00,1.243620743499141146e-01,5.657641165431476389e-03
5.000000000000000000e-01,1.000000000000000000e+02,1.096460811392404811e+00,1.286171939087436822e-01,1.402522311192151488e-03
1.000000000000000000e+00,1.000000000000000000e+02,1.096460811392405033e+00,1.286172323233758241e-01,1.402483896555720665e-03
5.000000000000000000e+00,1.000000000000000000e+02,1.646802954594839490e+72,-1.857234780657220309e+87,-1.857234780657219867e+87
1.000000000000000000e+01,1.000000000000000000e+02,1.289889724271263560e+105,-1.306120657185945134e+120,-1.306120657185945421e+120
1.000000000000000000e+00,1.000000000000000000e+00,1.096460811392404811e+00,1.296454843066145168e-01,9.570012577273581678e-02
